id,educational_function_id,employee_id,seniority_days,total_seniority_days,isTadd
201,1,164,52.5,52.5,0
202,1,165,22.0,22.0,0
203,3,166,103.0,103.0,0
206,7,167,181.0,183.0,0
205,8,167,151.5,151.5,0
204,3,167,906.0,910.0,0
207,1,168,166.0,166.0,0
208,1,169,2.0,2.0,0
209,4,170,1.0,1.0,0
210,1,171,10.0,10.0,0
211,1,172,21.0,21.0,0
212,11,172,252.5,282.5,0
1570,9,172,103.0,118.0,0
213,3,173,1.0,1.0,0
214,3,174,320.5,454.5,0
215,3,175,61.0,61.0,0
216,3,176,98.0,98.0,0
217,3,177,169.0,169.0,0
218,3,178,70.0,70.0,0
219,3,179,38.5,38.5,0
220,3,180,27.0,27.0,0
221,3,181,12.0,12.0,0
222,3,182,6.0,25.0,0
223,1,183,9.0,9.0,0
224,3,184,53.5,134.0,0
225,4,185,228.5,231.5,0
1635,3,185,1030.0,1033.0,1
226,2,186,146.0,151.5,0
227,7,187,347.5,347.5,0
228,3,188,6.0,6.0,0
229,3,189,12.0,12.0,0
230,3,190,310.0,313.0,0
231,3,191,4.5,4.5,0
232,4,192,22.0,25.0,0
233,1,193,111.0,114.0,0
234,3,194,74.0,74.0,0
235,3,195,305.0,307.0,0
236,1,196,7.0,7.0,0
237,3,197,25.5,25.5,0
238,1,198,151.5,152.0,0
239,4,199,9.0,10.0,0
1690,1,200,1033.0,1033.0,1
240,9,200,152.0,152.0,0
242,7,201,120.0,120.0,0
241,3,201,303.0,303.0,0
1771,11,201,1033.0,1033.0,1
243,3,202,190.0,191.0,0
244,1,203,180.0,184.0,0
1788,10,203,1029.0,1033.0,1
1772,11,203,1029.0,1033.0,1
245,1,204,15.0,15.0,0
246,1,205,30.0,30.0,0
247,3,206,110.0,110.0,0
248,8,207,125.5,125.5,0
249,3,207,252.0,252.0,0
250,3,208,10.0,10.0,0
251,8,209,49.5,50.5,0
252,3,209,318.0,321.0,0
254,3,210,148.0,148.0,0
253,9,210,137.0,137.0,0
255,1,211,25.0,25.0,0
256,3,212,146.0,146.0,0
257,3,213,96.0,96.0,0
258,1,214,106.5,111.0,0
259,8,215,148.0,151.5,0
260,10,215,24.0,61.0,0
261,3,216,300.0,303.0,0
262,7,217,861.0,913.5,0
264,8,218,246.0,303.5,0
263,3,218,1822.0,2110.0,0
265,4,219,139.5,151.5,0
266,1,220,5.0,5.0,0
267,1,221,105.0,105.0,0
268,4,222,151.5,151.5,0
269,3,223,301.0,303.0,0
271,1,224,6.0,6.0,0
272,3,224,1.0,1.0,0
270,9,224,0.0,0.0,0
273,3,225,0.0,0.0,0
274,1,226,16.0,16.0,0
275,3,227,19.0,19.0,0
276,11,227,490.0,583.0,0
277,1,228,177.0,177.0,0
278,1,229,1.0,1.0,0
279,1,230,244.0,271.0,0
280,3,230,6.5,6.5,0
281,1,231,181.0,188.0,0
282,4,231,19.5,19.5,0
283,1,232,1.0,1.0,0
1688,1,233,1033.0,1033.0,1
285,3,234,11.0,11.0,0
287,7,235,182.5,182.5,0
286,3,235,151.5,151.5,0
288,1,236,171.0,171.0,0
2130,3,236,23.5,23.5,0
2086,9,236,40.5,40.5,0
289,1,237,25.0,25.0,0
290,3,238,312.0,314.0,0
291,2,239,1342.5,1365.0,1
292,19,240,606.0,606.0,0
293,11,241,31.0,33.0,0
294,10,242,32.0,32.0,0
295,18,243,1666.5,1667.5,0
296,17,244,896.5,896.5,0
297,18,245,172.0,172.0,0
298,10,246,15.0,15.0,0
299,11,247,134.0,173.0,0
301,3,248,2.0,2.0,0
300,11,248,4.0,4.0,0
302,11,249,48.0,48.0,0
1835,10,250,1033.0,1033.0,1
303,11,250,864.0,874.0,0
305,10,251,85.5,86.5,0
304,11,251,269.0,275.0,0
1836,10,252,1033.0,1033.0,1
306,11,252,326.0,326.0,0
307,11,253,877.0,909.0,0
308,11,254,18.5,18.5,0
309,11,255,111.0,115.0,0
1834,10,256,1033.0,1033.0,1
310,11,256,1061.5,1061.5,0
311,1,257,8.0,8.0,0
312,3,257,2.0,2.0,0
313,3,258,20.0,20.0,0
314,1,259,23.0,23.0,0
315,3,260,151.5,151.5,0
316,7,261,76.5,76.5,0
318,7,262,174.0,174.0,0
317,4,262,926.0,926.0,0
319,1,263,1.0,1.0,0
1758,7,264,1033.0,1033.0,1
1568,8,264,303.0,303.0,0
320,1,264,151.0,151.5,0
1743,3,264,1033.0,1033.0,1
1971,9,264,61.0,61.0,0
321,7,265,182.5,182.5,0
1750,4,265,1033.0,1033.0,1
322,3,265,152.0,152.0,0
325,4,266,151.5,151.5,0
323,3,266,1511.0,1820.0,0
324,9,266,301.0,303.5,0
326,3,267,1.0,1.0,0
327,1,268,358.5,364.0,0
330,10,268,45.5,45.5,0
328,3,268,3.0,3.0,0
329,11,268,554.0,555.0,0
331,3,269,7.0,7.0,0
333,1,270,22.0,22.0,0
332,3,270,53.0,53.0,0
334,11,270,25.0,25.0,0
335,3,271,2.0,2.0,0
336,1,272,10.0,10.0,0
337,1,273,212.0,214.0,0
338,3,273,2.0,2.0,0
339,3,274,151.5,151.5,0
340,2,275,293.0,316.0,0
341,18,276,17.0,17.0,0
342,11,277,151.0,153.0,0
343,17,278,170.0,174.0,0
344,18,279,6.0,6.0,0
346,10,280,1.5,1.5,0
345,11,280,3.0,3.0,0
347,10,281,3.5,3.5,0
1781,11,281,1033.0,1033.0,1
348,22,282,386.0,606.5,0
350,10,283,150.5,151.5,0
349,11,283,642.0,651.0,0
351,11,284,207.0,207.5,0
352,23,285,980.5,990.0,1
353,17,286,226.5,226.5,0
354,22,287,388.0,390.5,0
355,10,288,124.5,125.5,0
357,3,288,65.0,65.0,0
356,11,288,296.5,429.5,0
358,10,289,12.5,12.5,0
359,11,289,41.0,41.5,0
360,18,290,33.0,33.0,0
363,7,291,116.0,182.5,0
361,22,291,539.0,858.0,0
362,9,291,380.0,422.5,0
364,11,292,552.0,562.0,0
367,8,293,151.5,151.5,0
368,1,293,303.0,303.0,0
1742,3,293,1033.0,1033.0,1
365,11,293,49.0,49.0,0
366,22,293,35.0,35.0,0
369,9,293,759.0,925.0,1
370,18,294,144.0,155.0,0
371,11,295,38.0,38.0,0
372,11,296,6.0,6.0,0
373,10,297,449.0,455.5,0
1762,11,297,1033.0,1033.0,1
374,17,298,215.5,216.5,0
375,17,299,2431.0,2599.0,1
377,1,300,606.5,606.5,0
376,3,300,606.5,606.5,0
378,3,301,1.0,1.0,0
379,3,302,2.0,2.0,0
380,1,303,3.0,3.0,0
381,1,304,7.0,7.0,0
382,4,305,238.5,239.0,0
384,1,306,82.0,84.0,0
383,3,306,181.0,181.0,0
385,3,307,15.0,15.0,0
387,8,308,38.0,38.0,0
386,1,308,93.0,93.0,0
388,3,308,77.0,77.0,0
389,3,309,97.0,97.0,0
390,3,310,53.0,53.0,0
391,1,311,1.0,1.0,0
392,1,312,67.0,70.0,0
393,4,313,73.0,73.0,0
394,3,313,73.0,73.0,0
396,3,314,1.0,1.0,0
397,11,314,549.0,564.0,0
395,9,314,155.0,167.0,0
398,3,315,11.0,11.0,0
399,3,316,2.0,2.0,0
400,4,317,2.0,2.0,0
401,3,318,737.5,738.0,0
402,1,319,2.0,2.0,0
403,1,320,13.0,13.0,0
404,1,321,210.0,210.0,0
405,3,321,426.0,426.0,0
406,9,321,152.0,152.0,0
407,1,322,16.0,16.0,0
408,1,323,3.0,3.0,0
409,1,324,92.0,92.0,0
410,1,325,28.0,28.0,0
411,3,326,43.0,43.0,0
415,8,327,98.5,151.5,0
413,4,327,159.5,212.5,0
412,3,327,1984.0,2395.0,1
414,9,327,249.0,303.0,0
416,3,328,781.0,781.0,0
417,1,329,0.0,0.0,0
418,3,330,0.0,0.0,0
419,3,331,196.0,196.0,0
420,3,332,2.0,2.0,0
421,3,333,2.0,2.0,0
424,7,334,103.5,108.5,0
422,8,334,146.5,151.5,0
1645,3,334,1033.0,1033.0,1
423,9,334,293.0,298.0,0
426,3,335,5.0,5.0,0
425,11,335,45.0,46.0,0
427,10,336,57.0,57.0,0
1832,11,336,1033.0,1033.0,1
428,11,337,10.0,10.0,0
429,11,338,28.0,28.0,0
430,3,339,1.0,1.0,0
431,3,340,147.0,161.0,0
432,1,341,157.0,157.0,0
434,4,341,141.5,141.5,0
433,3,341,276.5,276.5,0
435,9,341,141.5,141.5,0
436,1,342,176.0,176.0,0
437,3,342,1.0,1.0,0
438,1,343,1.0,1.0,0
439,1,344,1.0,1.0,0
440,3,345,4.0,4.0,0
441,3,346,15.0,15.0,0
442,1,347,1.0,1.0,0
443,1,348,1.0,1.0,0
444,2,349,9.0,9.5,0
445,1,350,14.0,14.0,0
446,1,351,2.0,2.0,0
447,17,352,23.0,23.0,0
1850,7,353,1033.0,1033.0,1
449,8,353,606.5,606.5,0
1809,21,353,1033.0,1033.0,1
448,9,353,908.0,910.0,1
450,18,354,458.0,561.0,0
451,11,355,151.5,152.0,0
452,11,356,140.0,281.0,0
453,18,357,78.5,79.5,0
454,17,358,280.0,281.5,0
1921,10,359,1064.5,1064.5,1
455,11,359,1847.0,1851.0,1
456,1,360,22.0,22.0,0
457,1,361,13.0,13.0,0
458,1,362,6.0,6.0,0
459,3,363,15.0,15.0,0
460,3,364,2.0,2.0,0
461,1,365,17.0,17.0,0
1622,1,366,1033.0,1033.0,1
462,3,366,1.5,1.5,0
463,3,367,1.0,1.0,0
464,3,368,2.0,2.0,0
465,1,369,2.0,2.0,0
467,1,370,152.0,152.0,0
466,4,370,0.0,0.0,0
468,3,371,2.0,2.0,0
469,3,372,37.0,37.0,0
470,9,372,10.0,10.0,0
471,1,373,2.0,2.0,0
472,1,374,2.0,2.0,0
473,1,375,3.0,3.0,0
474,1,376,1.0,1.0,0
475,1,377,143.5,143.5,0
476,3,377,2.0,2.0,0
477,9,377,120.0,120.0,0
478,1,378,1.0,1.0,0
479,3,379,50.0,50.0,0
480,3,380,1.0,1.0,0
481,3,381,265.0,265.0,0
482,3,382,5.0,5.0,0
483,9,383,150.0,152.0,0
486,8,384,42.5,42.5,0
484,1,384,682.0,694.0,0
485,3,384,89.0,89.0,0
487,4,385,19.0,19.0,0
488,3,385,7.0,7.0,0
489,8,386,17.5,17.5,0
490,7,387,45.0,45.0,0
1753,8,387,1048.0,1048.0,1
2065,9,387,151.5,151.5,0
1695,1,388,1033.0,1033.0,1
491,9,388,149.5,152.0,0
492,3,389,159.0,160.0,0
493,11,389,4.0,4.0,0
494,3,390,23.0,23.0,0
495,1,391,1.0,1.0,0
499,7,392,180.5,183.0,0
498,8,392,149.5,152.0,0
496,1,392,211.0,216.0,0
500,3,392,85.5,88.0,0
497,9,392,149.5,152.0,0
501,1,393,15.0,15.0,0
502,1,394,1792.0,1803.0,1
503,3,394,149.0,151.5,0
504,1,395,1040.5,1040.5,1
505,3,396,3.0,3.0,0
506,1,397,3.0,3.0,0
507,1,398,7.0,7.0,0
1651,1,399,1033.0,1033.0,1
509,3,399,152.0,152.0,0
508,9,399,152.0,152.0,0
510,1,400,4.0,4.0,0
511,11,401,7.0,7.0,0
512,11,402,97.0,100.0,0
513,17,403,21.5,21.5,0
515,1,404,56.0,56.0,0
514,11,404,253.5,256.5,0
517,10,405,349.0,349.0,0
516,11,405,405.0,405.0,0
518,10,406,257.0,465.0,0
519,18,407,58.0,58.0,0
520,17,408,277.0,277.0,0
522,10,409,869.0,910.5,1
521,11,409,1563.0,1636.0,1
523,18,410,10.0,10.0,0
524,3,410,49.0,49.0,0
525,11,411,298.0,298.0,0
526,10,412,45.0,47.0,0
527,11,412,427.0,429.0,0
1833,10,413,1033.0,1033.0,1
528,11,413,281.0,284.0,0
529,1,414,85.0,85.5,0
1716,3,414,1033.0,1033.0,1
530,1,415,576.0,604.0,0
532,4,415,147.0,151.5,0
531,3,415,447.0,454.5,0
533,3,416,11.5,11.5,0
534,3,417,3.0,3.0,0
535,3,418,1.0,1.0,0
536,3,419,33.0,33.0,0
537,1,420,2.0,2.0,0
538,11,420,19.0,19.0,0
540,10,421,7.0,7.0,0
539,3,421,56.0,56.0,0
541,11,421,12.0,12.0,0
542,3,422,25.0,25.0,0
543,1,423,11.0,11.0,0
544,1,424,347.0,352.0,0
545,3,424,3.0,3.0,0
546,11,425,12.0,12.0,0
547,17,426,19.5,19.5,0
548,17,427,101.5,101.5,0
549,22,428,35.0,35.0,0
550,22,429,35.0,35.5,0
551,22,430,146.5,185.0,0
552,22,431,42.0,42.5,0
554,11,432,88.0,88.0,0
553,22,432,805.5,806.0,1
555,3,433,5.0,5.0,0
556,3,434,15.0,15.0,0
557,3,435,54.0,54.0,0
558,4,436,141.0,142.0,0
559,3,437,11.0,11.0,0
560,2,438,87.0,87.0,0
561,1,439,1.0,1.0,0
562,19,440,304.0,304.0,0
565,7,441,180.0,182.5,0
564,8,441,149.0,151.5,0
563,1,441,1456.5,1514.5,0
566,3,442,30.0,30.0,0
567,1,443,3.0,3.0,0
568,1,444,3.0,3.0,0
569,1,445,9.0,9.0,0
570,1,446,2.0,2.0,0
571,1,447,1.0,1.0,0
574,8,448,77.0,151.5,0
572,1,448,144.5,151.5,0
573,9,448,221.5,303.0,0
575,3,449,7.0,7.0,0
576,3,450,29.0,29.0,0
577,11,450,6.0,6.0,0
578,1,451,57.5,59.0,0
580,1,452,137.0,137.0,0
579,3,452,192.5,197.0,0
581,3,453,47.0,48.0,0
583,8,454,151.5,151.5,0
582,3,454,1388.0,1395.0,0
584,9,454,86.0,86.0,0
585,4,455,3.0,3.0,0
586,7,456,33.0,33.0,0
587,8,456,60.5,60.5,0
1747,1,456,1033.0,1033.0,1
588,3,456,33.0,33.0,0
589,3,457,10.0,10.0,0
590,1,458,9.0,9.0,0
591,3,459,16.0,16.0,0
592,7,460,91.0,91.0,0
593,3,461,5.0,5.0,0
594,3,462,30.0,30.0,0
595,4,463,20.0,23.0,0
596,3,463,16.0,16.0,0
1963,7,464,118.0,151.5,0
598,1,464,97.5,97.5,0
597,4,464,848.0,938.0,1
1546,3,464,140.0,151.5,0
1904,9,464,118.0,151.5,0
599,3,465,13.0,13.0,0
600,11,466,37.5,40.5,0
601,18,467,339.0,349.0,0
602,10,468,3.0,3.0,0
603,11,468,5.0,5.0,0
604,3,469,28.0,28.0,0
605,3,470,1.0,1.0,0
606,1,471,3.0,3.0,0
607,3,472,15.0,15.0,0
609,1,473,4.0,4.0,0
608,3,473,26.0,26.0,0
610,1,474,16.5,16.5,0
611,1,475,2.0,2.0,0
612,4,476,67.0,67.0,0
613,3,477,1.0,1.0,0
1653,1,478,1033.0,1033.0,1
614,9,478,257.5,257.5,0
617,7,479,106.0,106.0,0
615,1,479,87.0,87.0,0
616,4,479,21.0,21.0,0
618,1,480,1.0,1.0,0
619,3,481,114.0,114.0,0
620,11,482,2.5,2.5,0
621,11,483,138.0,139.0,0
622,11,484,207.0,231.0,0
623,11,485,223.5,225.0,0
624,10,486,542.0,553.0,0
626,3,486,82.0,85.0,0
625,11,486,301.0,304.0,0
627,11,487,198.0,215.0,0
628,20,488,2420.0,2426.0,1
629,9,488,302.0,303.0,0
630,17,489,2272.5,2274.5,1
631,17,490,518.5,591.5,0
632,17,491,148.0,149.0,0
633,17,492,40.0,40.0,0
2004,7,493,106.0,106.0,0
634,22,493,1208.0,1210.5,0
635,7,494,813.5,819.5,0
2072,8,494,151.5,151.5,0
636,20,495,1020.0,1061.5,0
637,3,496,81.0,81.0,0
638,3,497,179.0,179.0,0
639,3,498,4.0,4.0,0
640,1,499,135.0,139.0,0
641,3,500,305.0,305.0,0
642,3,501,18.0,18.0,0
643,3,502,6.0,6.0,0
644,3,503,5.0,5.0,0
645,3,504,4.0,4.0,0
646,11,505,7.0,7.0,0
647,18,506,62.0,62.0,0
648,2,507,304.0,322.5,0
649,22,508,604.0,606.0,0
650,1,509,1.0,1.0,0
651,1,510,4.0,4.0,0
652,4,511,2.0,2.0,0
655,7,512,300.0,300.0,0
653,1,512,617.5,619.5,0
654,4,512,1.0,1.0,0
656,9,512,86.0,86.0,0
657,3,513,437.0,437.0,0
658,9,513,0.5,0.5,0
659,3,514,1.0,1.0,0
660,11,515,121.0,121.0,0
663,1,516,74.0,74.0,0
664,4,516,302.5,303.5,0
661,3,516,1417.5,1564.5,1
662,9,516,226.0,234.0,0
665,3,517,4.0,4.0,0
666,3,518,31.0,31.0,0
668,1,519,44.0,44.0,0
669,3,519,22.0,22.0,0
667,11,519,46.0,50.0,0
670,18,520,48.5,48.5,0
671,18,521,196.5,229.5,0
672,17,522,14.0,14.0,0
673,3,523,20.5,20.5,0
674,3,524,1.0,1.0,0
2155,17,525,133.0,133.0,0
675,3,525,1937.0,1940.0,1
676,11,526,20.0,20.0,0
678,7,527,58.5,58.5,0
677,8,527,27.5,27.5,0
1744,3,527,1033.0,1033.0,1
679,1,528,1205.0,1217.0,1
680,9,528,95.0,95.0,0
681,1,529,1.0,1.0,0
684,1,530,76.5,85.5,0
682,4,530,171.0,189.0,0
683,3,530,69.0,78.0,0
686,7,531,8.0,8.0,0
685,8,531,12.5,12.5,0
687,3,532,197.0,198.0,0
688,3,533,292.0,292.0,0
693,8,534,50.5,50.5,0
690,1,534,1.0,1.0,0
691,4,534,50.5,50.5,0
689,3,534,179.0,183.0,0
694,11,534,5.0,5.0,0
692,9,534,50.5,50.5,0
695,1,535,423.0,423.0,0
696,3,535,92.0,92.0,0
697,9,535,151.5,151.5,0
698,4,536,454.5,454.5,0
699,3,536,303.5,303.5,0
700,1,537,1.0,1.0,0
701,1,538,306.0,306.0,0
703,7,539,405.5,407.0,0
704,8,539,303.0,303.0,0
702,3,539,8.0,8.0,0
1782,11,539,1033.0,1033.0,1
705,7,540,1093.5,1095.5,0
1665,8,540,1184.5,1184.5,1
709,8,541,6.0,6.0,0
706,1,541,253.5,256.5,0
707,3,541,1.0,1.0,0
708,9,541,6.0,6.0,0
710,3,542,466.0,468.0,0
711,8,543,94.0,151.5,0
1686,3,543,1336.0,1336.0,1
712,9,543,188.0,303.0,0
713,1,544,1.5,1.5,0
714,3,545,1.0,1.0,0
716,1,546,2.0,2.0,0
715,3,546,268.0,268.0,0
717,11,547,605.0,606.0,0
718,11,548,31.0,31.0,0
720,3,549,481.0,486.0,0
719,11,549,5.0,5.0,0
721,11,550,40.0,40.0,0
722,11,551,105.0,108.0,0
723,11,552,18.0,18.0,0
724,11,553,151.5,151.5,0
725,18,554,293.0,294.0,0
726,18,555,299.0,303.0,0
727,22,556,148.5,151.5,0
728,23,557,597.5,606.5,0
730,7,558,182.5,182.5,0
731,8,558,151.5,151.5,0
729,9,558,151.5,151.5,0
733,7,559,182.5,182.5,0
734,8,559,151.5,151.5,0
732,3,559,591.0,591.0,0
735,9,559,237.5,237.5,0
738,7,560,180.0,182.5,0
736,8,560,300.5,303.0,0
739,1,560,300.5,303.0,0
740,3,560,1313.0,1315.5,0
737,9,560,452.0,454.5,0
741,3,561,1.0,1.0,0
742,1,562,3.0,3.0,0
744,1,563,432.0,467.0,0
743,3,563,1.0,1.0,0
745,11,564,302.0,303.0,0
1837,10,565,1033.0,1033.0,1
746,11,565,166.5,168.0,0
747,11,566,28.0,28.0,0
748,11,567,24.5,24.5,0
749,2,568,150.5,152.5,0
750,10,568,4.0,4.0,0
751,11,569,14.0,14.0,0
753,1,570,936.0,940.0,0
752,11,570,4.0,4.0,0
754,18,571,5.0,5.0,0
756,1,572,2.0,2.0,0
755,10,572,218.0,218.0,0
758,7,573,14.0,14.0,0
757,3,573,80.0,80.0,0
759,3,574,1240.5,1243.5,1
760,7,575,52.5,52.5,0
761,3,576,16.0,16.0,0
762,3,577,1.0,1.0,0
764,1,578,32.0,32.0,0
763,3,578,1.0,1.0,0
765,3,579,326.0,326.0,0
767,8,580,150.0,151.5,0
768,1,580,150.0,151.5,0
766,9,580,150.0,151.5,0
769,1,581,1180.0,1213.0,0
770,1,582,12.0,12.0,0
771,3,583,252.5,253.5,0
774,8,584,126.5,127.0,0
772,3,584,286.0,287.0,0
773,9,584,126.5,127.0,0
776,7,585,183.0,183.0,0
775,3,585,1200.0,1213.0,0
779,1,586,1.0,1.0,0
777,4,586,271.5,271.5,0
778,3,586,22.0,22.0,0
780,3,587,1.0,1.0,0
781,3,588,6.0,6.0,0
782,1,589,135.0,138.0,0
783,3,589,36.0,37.5,0
784,1,590,1.0,1.0,0
785,4,591,3.0,3.0,0
786,3,592,10.0,10.0,0
787,4,593,1.0,1.0,0
788,1,594,2.0,2.0,0
789,11,595,238.0,239.0,0
790,11,596,453.0,453.0,0
792,10,597,2.5,2.5,0
791,11,597,5.0,5.0,0
793,18,598,348.5,348.5,0
796,1,599,2.0,2.0,0
794,10,599,55.5,55.5,0
795,11,599,73.5,73.5,0
797,11,600,20.0,20.0,0
798,3,601,1.0,1.0,0
799,1,602,2.0,2.0,0
