id,school_id,edu_function_data_id,beginDate,endDate,hours
163,6,63,2005-11-14,2006-05-24,12.0
162,6,63,2006-01-09,2006-03-31,9.0
164,1,63,2006-09-18,2007-01-07,3.0
165,6,63,2006-12-07,2006-12-22,8.0
166,6,63,2007-02-05,2007-06-30,8.0
167,1,63,2009-09-01,2010-06-30,1.0
168,1,63,2010-09-01,2011-06-30,1.0
169,1,63,2011-09-01,2012-06-30,1.0
170,6,64,2005-09-01,2006-02-24,24.0
7521,18,2296,2019-04-23,2019-06-30,6.0
174,6,66,2006-09-01,2007-06-30,1.0
171,7,65,2005-09-01,2006-06-30,5.0
172,7,65,2006-09-01,2007-06-30,10.0
173,7,65,2007-09-01,2008-06-30,10.0
175,9,67,2001-11-08,2002-01-07,12.0
176,7,68,2004-12-10,2005-06-30,24.0
177,7,68,2005-09-01,2005-12-15,24.0
178,7,68,2006-02-13,2006-02-24,24.0
179,7,68,2007-05-02,2007-06-01,24.0
180,7,69,2004-01-27,2004-03-14,24.0
181,7,69,2004-03-15,2004-06-30,12.0
182,7,69,2004-10-07,2005-06-30,24.0
183,7,70,2005-09-12,2005-10-14,24.0
184,8,70,2006-10-16,2006-12-06,1.0
185,4,70,2008-10-29,2008-11-14,24.0
192,4,70,2008-11-17,2008-11-21,24.0
193,4,70,2008-11-24,2008-11-28,24.0
194,4,70,2008-12-08,2008-12-19,24.0
195,4,70,2009-01-05,2009-01-16,24.0
196,4,70,2009-02-02,2009-02-02,24.0
189,3,70,2009-02-16,2009-02-17,24.0
190,3,70,2009-02-18,2009-02-18,24.0
191,3,70,2009-02-19,2009-02-20,24.0
197,4,70,2009-03-02,2009-03-05,24.0
198,4,70,2009-03-09,2009-03-09,12.0
186,7,70,2009-03-09,2009-06-30,6.0
199,8,70,2009-03-18,2009-03-18,12.0
200,8,70,2009-04-01,2009-04-01,12.0
187,6,70,2009-04-02,2009-04-02,12.0
188,7,70,2009-04-03,2009-04-03,12.0
203,7,70,2009-04-20,2009-06-30,8.0
204,3,70,2009-09-01,2009-10-30,24.0
201,3,70,2009-11-01,2010-01-14,24.0
202,3,70,2010-01-15,2010-02-28,24.0
205,3,70,2010-03-01,2010-06-30,24.0
206,12,71,2008-12-01,2008-12-02,24.0
207,12,71,2009-01-26,2009-01-26,24.0
208,12,71,2009-03-06,2009-03-06,24.0
209,12,71,2009-03-10,2009-03-10,24.0
210,12,71,2009-03-12,2009-03-12,24.0
211,12,71,2009-03-17,2009-06-30,4.0
212,6,72,2005-05-31,2005-06-30,16.0
213,6,73,2005-05-31,2005-06-30,1.0
214,6,74,2003-10-07,2004-06-30,12.0
215,6,75,2003-05-22,2003-06-15,24.0
216,6,76,2004-12-14,2004-12-26,23.0
217,6,77,2003-01-24,2003-06-30,4.0
218,6,78,2002-09-23,2003-06-30,14.0
219,6,79,2003-01-17,2003-02-06,12.0
220,6,79,2003-03-13,2003-04-04,12.0
221,6,79,2003-04-23,2003-06-30,12.0
222,6,80,2003-02-03,2003-06-30,24.0
223,6,81,2001-09-01,2002-06-30,24.0
224,6,82,2002-05-06,2002-06-30,12.0
225,6,83,2000-09-11,2000-12-22,24.0
226,6,84,2001-01-29,2001-05-09,24.0
227,5,84,2002-12-05,2003-01-17,14.0
228,6,85,2001-03-10,2001-03-30,24.0
229,12,85,2001-04-17,2001-05-10,24.0
6737,8,2118,2019-01-01,2019-08-31,8.0
6336,8,2058,2018-09-01,2018-09-30,8.0
6337,8,2058,2018-09-01,2019-06-30,3.0
230,6,86,2004-09-01,2005-06-30,12.0
5584,8,86,2017-09-01,2018-06-30,12.0
5816,8,86,2017-12-11,2018-01-14,1.0
5817,8,86,2018-01-15,2018-03-25,3.0
5930,8,86,2018-03-26,2018-06-30,6.0
6338,8,86,2018-09-01,2019-06-30,10.0
6738,8,86,2018-09-01,2018-10-14,2.0
6339,8,86,2018-10-15,2019-08-31,2.0
231,6,87,2001-04-17,2001-06-30,24.0
232,6,87,2001-09-25,2001-10-09,24.0
245,2,89,2016-09-12,2016-10-31,1.0
246,2,90,2016-09-12,2016-10-31,12.0
233,7,88,2002-03-04,2002-06-30,24.0
234,7,88,2002-09-01,2002-12-20,24.0
235,7,88,2003-01-20,2003-02-14,24.0
236,7,88,2003-03-10,2003-06-30,18.0
237,7,88,2003-09-01,2004-06-30,22.0
238,8,88,2006-11-10,2006-11-10,24.0
239,9,88,2007-09-13,2007-09-13,24.0
240,9,88,2007-09-14,2007-09-14,24.0
241,9,88,2007-09-27,2007-09-27,12.0
242,9,88,2007-10-18,2007-10-18,24.0
243,2,88,2016-01-12,2016-03-25,19.0
244,2,88,2016-03-26,2016-06-30,20.0
5893,3,88,2017-10-26,2018-03-30,20.0
6307,3,2053,2018-10-01,2019-06-30,4.0
247,2,91,2016-09-12,2016-10-31,6.0
5456,1,91,2017-02-06,2017-02-24,10.5
5457,1,91,2017-03-01,2017-04-17,6.5
248,2,92,2016-09-12,2016-10-31,6.0
5458,1,92,2017-02-06,2017-02-24,1.0
5459,1,92,2017-03-01,2017-04-17,1.0
6311,3,92,2018-09-01,2018-09-30,5.0
6312,3,92,2018-09-01,2018-09-30,1.0
249,9,93,2004-10-07,2004-10-27,12.0
250,1,94,2005-10-10,2005-10-21,24.0
251,8,94,2006-03-23,2006-03-24,12.0
252,1,95,2005-09-01,2006-08-31,4.0
253,1,95,2006-09-01,2007-08-31,1.0
254,6,95,2006-09-01,2007-08-31,3.0
5347,10,95,2017-02-01,2017-08-31,1.0
263,1,97,2006-05-30,2006-05-30,6.0
264,1,97,2006-06-01,2006-06-02,6.0
265,1,97,2006-06-06,2006-06-09,6.0
266,1,97,2006-06-12,2006-06-13,6.0
267,1,97,2006-06-15,2006-06-16,6.0
5732,10,1941,2017-09-01,2018-04-30,11.0
258,5,96,2003-09-01,2004-06-30,24.0
259,5,96,2004-09-01,2005-06-30,24.0
255,3,96,2006-02-02,2006-02-02,6.0
256,3,96,2006-04-18,2006-04-18,24.0
257,3,96,2006-05-05,2006-05-05,24.0
261,3,96,2006-05-19,2006-05-19,24.0
260,1,96,2006-06-26,2006-06-26,24.0
262,6,96,2006-09-01,2007-06-30,4.0
5350,10,1856,2017-02-01,2017-06-30,2.0
5342,10,1851,2000-09-01,2003-06-30,36.0
268,1,98,2005-09-01,2005-09-09,12.0
272,1,100,2006-03-06,2006-06-30,1.0
269,1,99,2005-09-12,2006-04-30,12.0
270,1,99,2005-10-10,2005-10-21,12.0
271,1,99,2005-11-14,2006-06-30,11.0
274,1,102,2009-04-20,2009-06-30,6.0
273,1,101,2006-03-10,2006-06-30,7.0
276,3,103,2006-02-15,2006-02-15,24.0
275,1,103,2006-03-06,2006-06-30,3.0
277,1,103,2006-09-01,2006-09-17,3.0
278,3,103,2007-05-14,2007-05-15,12.0
280,3,103,2007-06-04,2007-06-04,24.0
279,3,103,2007-06-05,2007-06-12,12.0
281,1,104,2005-12-07,2005-12-20,24.0
282,1,105,2006-01-09,2006-03-31,24.0
283,1,105,2006-04-01,2006-06-30,24.0
284,9,105,2007-02-01,2007-02-01,12.0
285,1,106,2006-01-19,2006-02-10,24.0
286,1,107,2006-01-09,2006-01-27,24.0
288,6,107,2007-02-26,2007-02-28,24.0
287,8,107,2007-03-01,2007-03-02,24.0
289,12,107,2007-11-07,2007-11-08,24.0
290,1,108,2006-01-30,2006-04-21,24.0
291,1,108,2006-04-22,2006-04-23,24.0
292,1,108,2006-04-24,2006-05-10,12.0
293,1,108,2006-05-11,2006-05-12,24.0
294,1,108,2006-05-13,2006-05-15,12.0
295,1,108,2006-05-16,2006-05-16,24.0
296,1,108,2006-05-17,2006-06-18,12.0
297,1,108,2006-06-19,2006-06-30,24.0
298,1,109,2006-03-07,2006-03-31,24.0
299,1,109,2006-04-01,2006-06-30,24.0
300,8,109,2006-09-19,2006-09-22,24.0
301,1,110,2006-03-20,2006-03-24,24.0
302,1,111,2006-03-10,2006-03-10,24.0
303,1,111,2006-03-17,2006-03-17,24.0
304,1,111,2006-03-31,2006-03-31,12.0
305,1,112,2004-11-12,2004-11-17,20.0
306,1,112,2004-11-18,2004-12-23,14.0
307,1,112,2004-12-24,2005-01-12,20.0
308,1,112,2005-01-13,2005-01-28,22.0
309,1,112,2005-01-29,2005-02-24,20.0
310,1,113,2004-11-18,2004-12-23,6.0
311,1,114,2004-11-18,2004-12-23,6.0
5221,1,1730,2000-09-01,2003-06-30,24.0
312,1,115,2005-09-01,2006-06-30,2.0
313,1,115,2006-09-01,2007-06-30,8.0
314,2,116,2002-09-01,2003-06-30,3.0
315,2,118,2001-05-09,2001-06-30,12.0
316,2,119,2000-09-20,2001-03-11,24.0
317,2,120,2006-03-06,2006-06-16,24.0
318,2,120,2006-06-17,2006-06-30,24.0
320,5,121,2002-09-01,2003-06-30,10.0
319,2,121,2002-09-01,2003-06-30,13.0
321,5,121,2003-09-01,2003-12-31,24.0
322,5,121,2004-01-01,2004-06-30,23.0
323,2,122,2003-04-22,2003-06-30,14.0
324,2,123,2003-12-08,2003-12-19,12.0
325,2,124,2005-12-07,2005-12-21,12.0
326,2,125,2001-05-28,2001-06-30,22.0
327,2,125,2003-09-01,2003-10-01,22.0
328,2,125,2003-09-08,2003-10-01,2.0
329,2,125,2003-10-02,2004-04-01,24.0
331,2,126,2000-11-13,2001-06-30,24.0
330,2,126,2001-09-01,2002-06-30,24.0
332,2,127,2005-05-30,2005-06-30,18.0
333,2,128,2005-01-05,2005-04-02,12.0
334,2,129,2005-04-18,2005-04-22,9.0
335,2,130,2001-04-19,2001-06-30,16.0
336,2,130,2001-09-01,2001-10-01,24.0
337,4,130,2005-02-21,2005-03-18,24.0
338,4,130,2006-10-17,2006-10-18,24.0
339,4,130,2007-01-26,2007-01-26,24.0
340,11,131,2004-11-16,2004-12-24,22.0
341,11,131,2005-09-16,2005-10-28,13.0
342,11,131,2006-09-05,2006-09-14,22.0
343,2,132,2006-03-06,2006-06-30,23.0
344,2,132,2006-09-01,2006-12-22,24.0
345,2,132,2006-12-23,2007-01-07,24.0
346,2,132,2007-01-08,2007-01-31,14.0
347,2,132,2007-02-01,2007-06-30,24.0
348,2,132,2007-09-01,2008-06-30,24.0
349,2,133,1999-11-19,1999-12-24,24.0
350,2,133,2000-09-04,2001-02-04,24.0
353,2,134,2004-04-11,2004-04-22,24.0
354,2,134,2004-04-27,2004-06-30,11.0
351,2,134,2004-09-01,2004-12-02,24.0
352,2,134,2004-12-03,2004-12-24,24.0
355,2,135,2002-02-24,2002-06-28,24.0
356,2,136,2002-09-01,2003-06-30,24.0
357,2,137,2005-12-21,2006-06-30,24.0
358,2,137,2006-09-01,2007-06-30,24.0
359,2,138,2000-04-19,2000-06-30,24.0
362,8,140,2004-09-01,2005-06-30,12.0
363,8,140,2005-09-01,2006-06-30,5.0
364,8,140,2009-10-13,2009-10-13,12.0
360,8,139,2003-09-01,2004-06-30,12.0
361,8,139,2004-09-01,2005-06-30,2.0
365,8,141,2005-09-01,2006-08-31,1.0
5127,8,1641,2000-09-01,2003-06-30,24.0
366,8,142,2005-10-17,2005-10-28,24.0
367,5,142,2006-05-22,2006-06-02,24.0
368,12,142,2012-01-13,2012-06-30,12.0
369,5,142,2012-09-01,2012-09-27,1.0
371,5,142,2012-09-01,2013-06-30,12.0
370,5,142,2012-09-28,2013-06-30,3.0
372,5,142,2013-02-08,2013-02-08,9.0
373,5,142,2013-02-22,2013-02-22,9.0
374,6,142,2014-02-03,2014-05-16,24.0
378,3,142,2014-09-29,2014-10-01,12.0
375,3,142,2014-10-01,2014-10-01,12.0
377,3,142,2014-10-06,2014-10-17,24.0
376,3,142,2014-10-20,2014-10-20,12.0
379,2,142,2014-10-21,2014-10-24,24.0
380,5,143,2012-09-01,2013-06-30,1.0
381,8,144,2006-02-13,2006-02-13,24.0
382,8,145,2006-04-21,2006-05-05,24.0
383,8,146,2000-11-11,2001-08-31,8.0
5126,8,1640,2000-09-01,2003-06-30,24.0
385,8,151,2004-11-18,2004-12-23,7.0
384,8,150,2004-09-01,2005-06-30,18.0
386,10,152,2004-11-16,2005-03-25,22.0
387,10,152,2005-03-26,2005-06-22,11.0
388,10,152,2005-04-11,2005-06-30,6.0
389,10,152,2005-04-11,2005-06-30,4.0
390,10,152,2005-09-01,2006-06-30,22.0
391,10,153,2005-09-01,2006-06-30,17.0
392,10,153,2006-09-01,2007-06-30,17.0
393,10,153,2007-09-01,2008-06-30,22.0
394,10,154,2003-09-01,2004-06-30,22.0
395,10,154,2004-09-01,2005-06-30,22.0
396,10,154,2005-09-01,2006-06-30,5.0
397,10,154,2006-09-01,2007-06-30,5.0
398,10,155,2001-09-13,2002-06-30,5.0
399,10,155,2001-09-24,2002-06-30,4.0
400,10,155,2002-09-02,2003-06-30,12.0
401,10,155,2003-09-01,2004-06-30,12.0
402,10,155,2004-09-01,2005-06-30,9.0
403,10,155,2005-09-01,2006-06-30,11.0
452,10,157,2008-05-27,2008-05-28,11.0
453,10,157,2008-06-03,2008-06-03,11.0
454,10,157,2008-06-10,2008-06-10,11.0
404,10,156,2005-09-05,2005-09-16,22.0
405,10,156,2005-09-17,2006-06-30,4.0
406,10,156,2006-03-07,2006-03-20,11.0
407,10,156,2006-04-20,2006-04-20,2.0
408,10,156,2006-04-21,2006-04-21,18.0
409,10,156,2006-04-28,2006-04-28,18.0
410,10,156,2006-05-04,2006-05-04,11.0
413,10,156,2006-05-12,2006-05-12,11.0
414,10,156,2006-05-18,2006-05-18,11.0
415,10,156,2006-05-19,2006-05-19,11.0
416,10,156,2006-06-02,2006-06-02,11.0
417,10,156,2006-06-08,2006-06-08,11.0
418,10,156,2006-06-09,2006-06-09,11.0
419,10,156,2006-06-16,2006-06-16,11.0
412,10,156,2006-06-22,2006-06-22,11.0
411,10,156,2006-06-23,2006-06-23,18.0
420,10,156,2006-09-01,2007-05-07,1.0
421,10,156,2006-09-14,2006-09-14,21.0
422,10,156,2006-09-21,2006-09-21,11.0
423,10,156,2006-10-05,2006-10-05,11.0
424,10,156,2006-10-12,2006-10-12,21.0
425,10,156,2006-10-19,2006-10-19,11.0
426,10,156,2006-11-23,2006-11-23,11.0
427,10,156,2006-11-30,2006-11-30,11.0
428,10,156,2006-12-07,2006-12-07,11.0
429,10,156,2006-12-11,2006-12-22,10.0
430,10,156,2007-01-11,2007-01-11,11.0
431,10,156,2007-02-01,2007-02-01,11.0
432,10,156,2007-02-08,2007-02-08,21.0
433,10,156,2007-02-15,2007-02-15,21.0
434,10,156,2007-03-01,2007-03-01,21.0
435,10,156,2007-03-08,2007-03-08,21.0
436,10,156,2007-03-15,2007-03-15,21.0
437,10,156,2007-03-22,2007-03-22,11.0
438,10,156,2007-04-19,2007-04-19,11.0
439,10,156,2007-04-20,2007-04-20,11.0
440,10,156,2007-04-26,2007-04-26,11.0
441,10,156,2007-04-27,2007-04-27,11.0
442,10,156,2007-05-03,2007-05-03,11.0
443,10,156,2007-05-04,2007-05-04,11.0
444,10,156,2007-05-10,2007-05-10,11.0
445,10,156,2007-05-11,2007-05-11,11.0
447,10,156,2007-09-01,2008-06-30,1.0
446,10,156,2007-10-09,2007-10-09,11.0
449,10,156,2008-05-11,2008-05-11,11.0
448,10,156,2008-05-28,2008-06-30,11.0
450,10,156,2008-06-11,2008-06-11,10.0
451,10,156,2008-06-17,2008-06-17,10.0
457,8,159,2006-10-06,2006-10-20,24.0
455,10,158,2005-09-19,2006-06-30,18.0
456,10,158,2005-10-01,2006-06-30,4.0
458,10,160,2005-09-09,2006-06-30,7.0
459,10,160,2005-09-09,2005-11-21,4.0
460,10,161,2004-10-01,2005-06-30,5.0
461,10,161,2004-11-22,2005-06-30,1.0
462,10,161,2004-11-29,2004-12-24,4.0
463,10,161,2005-09-01,2005-09-30,19.0
464,10,161,2005-10-01,2006-06-30,17.0
465,10,162,2004-12-13,2005-03-27,4.0
466,10,163,2004-10-01,2005-06-30,8.0
467,10,163,2005-09-01,2006-06-30,12.0
468,10,163,2006-09-01,2007-06-30,9.0
469,10,163,2006-09-01,2007-02-16,3.0
470,10,164,2004-11-29,2005-03-25,16.0
471,10,164,2005-06-07,2005-06-30,6.0
472,10,164,2005-09-01,2006-06-30,6.0
474,10,164,2005-11-25,2005-12-21,4.0
473,10,164,2005-12-01,2006-06-30,6.0
475,10,164,2006-09-01,2007-06-30,4.0
476,10,164,2006-10-09,2007-06-30,3.0
477,10,165,2005-09-01,2006-06-30,16.0
478,10,165,2005-11-01,2006-06-30,3.0
479,10,165,2006-09-01,2007-06-30,16.0
480,10,165,2006-10-02,2007-06-30,1.0
481,10,165,2007-09-01,2008-06-30,16.0
482,10,165,2010-09-01,2011-06-30,14.0
483,10,165,2011-09-01,2012-06-30,16.0
484,10,165,2012-09-01,2013-06-30,16.0
485,10,165,2012-10-01,2013-06-30,2.0
486,10,165,2013-09-01,2014-06-30,16.0
487,10,165,2014-09-01,2015-06-30,2.0
488,10,165,2014-09-01,2014-12-31,10.0
489,10,165,2014-09-20,2014-10-31,3.0
490,10,165,2015-01-05,2015-06-30,4.0
491,10,165,2015-09-01,2016-06-30,6.0
492,10,166,2005-09-01,2006-06-30,16.0
493,10,166,2005-09-01,2005-10-27,4.0
494,10,166,2006-09-01,2007-06-30,24.0
495,10,167,2005-03-07,2005-06-30,4.0
496,10,167,2005-09-01,2006-06-30,6.0
497,10,167,2005-09-19,2005-12-21,7.0
498,10,167,2005-10-01,2006-06-30,4.0
499,10,168,2005-09-01,2006-06-30,2.0
500,10,168,2006-09-01,2007-06-30,2.0
501,10,168,2006-10-02,2007-06-30,3.0
502,10,169,2006-02-13,2006-03-30,22.0
534,10,172,2006-09-05,2006-09-05,22.0
535,10,172,2006-10-23,2007-06-30,6.0
536,10,172,2006-11-07,2006-11-07,16.0
537,10,172,2007-01-09,2007-01-09,11.0
538,10,172,2007-03-13,2007-03-13,11.0
539,10,172,2007-03-20,2007-03-20,16.0
540,10,172,2007-05-08,2007-05-08,11.0
517,12,171,2005-02-16,2005-06-30,24.0
518,1,171,2006-10-23,2007-05-24,9.0
519,1,171,2006-10-23,2007-06-30,1.0
520,1,171,2007-05-25,2007-06-30,9.0
530,12,171,2007-09-04,2007-11-25,7.0
531,12,171,2007-09-04,2008-06-30,2.0
521,12,171,2007-09-07,2007-09-07,3.0
522,12,171,2007-09-14,2007-09-14,3.0
523,12,171,2007-09-21,2007-09-21,3.0
524,12,171,2007-09-28,2007-09-28,3.0
525,12,171,2007-10-05,2007-10-05,3.0
526,12,171,2007-10-12,2007-10-12,3.0
527,12,171,2007-10-19,2007-10-19,3.0
528,12,171,2007-10-26,2007-10-26,3.0
529,12,171,2007-11-26,2008-06-30,11.0
532,12,171,2008-03-17,2008-05-16,10.0
533,12,171,2008-05-19,2008-05-20,10.0
503,10,170,2005-09-01,2006-04-03,3.0
504,10,170,2006-04-18,2006-06-30,3.0
505,10,170,2006-09-01,2006-10-22,14.0
506,10,170,2006-11-21,2006-11-21,22.0
507,10,170,2006-11-28,2006-11-28,11.0
508,10,170,2006-12-05,2006-12-05,22.0
509,10,170,2006-12-13,2006-12-13,11.0
510,10,170,2007-01-23,2007-01-23,22.0
511,10,170,2007-02-27,2007-02-27,22.0
512,10,170,2007-03-06,2007-03-06,22.0
513,10,170,2007-03-27,2007-03-27,22.0
514,10,170,2007-04-17,2007-04-17,22.0
515,10,170,2007-04-24,2007-04-24,22.0
516,10,170,2007-05-15,2007-05-15,11.0
543,10,173,2004-12-14,2004-12-24,16.0
541,10,173,2005-04-11,2005-06-30,30.0
542,10,173,2005-09-01,2006-03-13,28.0
551,7,175,2007-09-18,2007-10-10,24.0
