id,school_id,hours,edu_function_data_id
146,1,24.0,1710
151,1,24.0,1715
158,1,24.0,1723
159,1,24.0,1724
161,1,24.0,1726
162,1,24.0,1727
163,1,24.0,1728
166,1,24.0,1731
167,1,24.0,1732
168,1,23.0,1734
178,3,12.0,1735
196,3,18.0,1736
180,3,24.0,1739
181,3,24.0,1740
182,3,24.0,1741
172,3,24.0,1745
174,3,24.0,1748
175,3,24.0,1749
187,1,6.0,1752
189,1,32.0,1754
193,3,3.0,1757
195,3,5.0,1756
285,11,1.0,1756
246,10,32.0,1811
198,10,22.0,1760
199,10,22.0,1761
201,10,22.0,1763
236,10,20.0,1801
227,10,17.0,1789
251,10,24.0,1817
202,10,22.0,1764
203,10,22.0,1765
231,10,32.0,1796
222,10,17.0,1784
239,10,28.0,1804
240,10,22.0,1805
253,10,3.0,1820
232,10,32.0,1797
205,10,22.0,1767
206,10,22.0,1768
250,10,30.0,1816
207,10,22.0,1769
241,10,28.0,1806
254,10,26.0,1819
210,10,22.0,1773
211,10,22.0,1774
212,10,22.0,1775
213,10,22.0,1776
233,10,32.0,1798
217,10,22.0,1780
216,10,5.0,1779
214,10,22.0,1777
223,10,17.0,1785
234,10,32.0,1799
228,10,22.0,1787
249,10,26.0,1814
242,10,27.0,1807
224,10,19.0,1793
225,10,19.0,1794
320,11,14.0,1795
226,10,17.0,1795
292,10,12.0,1854
269,11,22.0,1821
261,11,6.0,1823
279,11,16.0,1822
256,11,22.0,1841
270,11,22.0,1824
271,11,22.0,1825
272,11,22.0,1826
273,11,22.0,1827
258,11,32.0,1842
281,11,30.0,1845
274,11,22.0,1828
259,11,24.0,1843
282,11,30.0,1846
257,11,32.0,1840
283,11,30.0,1847
276,11,22.0,1829
284,11,30.0,1848
268,11,40.0,1844
267,11,32.0,1839
277,11,22.0,1830
265,11,8.0,1838
278,11,22.0,1831
291,11,1.0,1852
290,11,12.0,1853
293,10,24.0,1855
326,15,24.0,2187
